Megatrend,Area,Firm,Short Description,Keywords,Role of Utility,Website,Twitter Handle,Country,Language,Year Founded,Funding Status,Total Funding Amount (National Currency),Currency,Total Funding Amount (USD),IPO Date,,,,,,,,,,
AgriTech,Tide Ocean - Innovation Area,Tide Ocean,Tide Ocean is a startup focused on sustainability solutions.,"tide ocean, sustainability",Environmental Impact,https://www.tideocean.com,https://twitter.com/tideocean,India,English,2017.0,Series A,$74M,USD,72807709,,,,,,,,,,,
Sustainable Mobility,Renewell - Innovation Area,Renewell,Renewell is a startup focused on sustainability solutions.,"renewell, sustainability",Environmental Impact,https://www.renewell.com,https://twitter.com/renewell,India,English,2013.0,Series C,$94M,USD,73700116,,,,,,,,,,,
Digital & AI,Low Carbon Materials - Innovation Area,Low Carbon Materials,Low Carbon Materials is a startup focused on sustainability solutions.,"low carbon materials, sustainability",Environmental Impact,https://www.lowcarbonmaterials.com,https://twitter.com/lowcarbonmaterials,UK,English,2023.0,Seed,$81M,USD,103964171,,,,,,,,,,,
HealthTech,Carbon Equity - Innovation Area,Carbon Equity,Carbon Equity is a startup focused on sustainability solutions.,"carbon equity, sustainability",Environmental Impact,https://www.carbonequity.com,https://twitter.com/carbonequity,India,English,2014.0,Series A,$5M,USD,78810173,,,,,,,,,,,
HealthTech,Common Energy - Innovation Area,Common Energy,Common Energy is a startup focused on sustainability solutions.,"common energy, sustainability",Environmental Impact,https://www.commonenergy.com,https://twitter.com/commonenergy,India,English,2015.0,Seed,$14M,USD,7865032,,,,,,,,,,,
Water Management,Heliogen - Innovation Area,Heliogen,Heliogen is a startup focused on sustainability solutions.,"heliogen, sustainability",Environmental Impact,https://www.heliogen.com,https://twitter.com/heliogen,USA,English,2018.0,Series A,$20M,USD,18973781,,,,,,,,,,,
Fintech & Payments,Desolenator - Innovation Area,Desolenator,Desolenator is a startup focused on sustainability solutions.,"desolenator, sustainability",Environmental Impact,https://www.desolenator.com,https://twitter.com/desolenator,Germany,English,2023.0,Series C,$52M,USD,120824022,,,,,,,,,,,
Clean Energy,Zolar Energy - Innovation Area,Zolar Energy,Zolar Energy is a startup focused on sustainability solutions.,"zolar energy, sustainability",Environmental Impact,https://www.zolarenergy.com,https://twitter.com/zolarenergy,UK,English,2021.0,Series C,$12M,USD,7809358,,,,,,,,,,,
HealthTech,Amp X - Innovation Area,Amp X,Amp X is a startup focused on sustainability solutions.,"amp x, sustainability",Environmental Impact,https://www.ampx.com,https://twitter.com/ampx,UK,English,2014.0,Series C,$85M,USD,49936102,,,,,,,,,,,
Carbon Management,Kiwa Bio-Tech - Innovation Area,Kiwa Bio-Tech,Kiwa Bio-Tech is a startup focused on sustainability solutions.,"kiwa bio-tech, sustainability",Environmental Impact,https://www.kiwabio-tech.com,https://twitter.com/kiwabio-tech,Germany,English,2023.0,Series B,$20M,USD,77722181,,,,,,,,,,,
Digital & AI,BeZero Carbon - Innovation Area,BeZero Carbon,BeZero Carbon is a startup focused on sustainability solutions.,"bezero carbon, sustainability",Environmental Impact,https://www.bezerocarbon.com,https://twitter.com/bezerocarbon,India,English,2023.0,Seed,$5M,USD,82340002,,,,,,,,,,,
Fintech & Payments,Twaice - Innovation Area,Twaice,Twaice is a startup focused on sustainability solutions.,"twaice, sustainability",Environmental Impact,https://www.twaice.com,https://twitter.com/twaice,Germany,English,2014.0,Series A,$120M,USD,79722757,,,,,,,,,,,
HealthTech,Dabbel - Innovation Area,Dabbel,Dabbel is a startup focused on sustainability solutions.,"dabbel, sustainability",Environmental Impact,https://www.dabbel.com,https://twitter.com/dabbel,India,English,2020.0,Series A,$38M,USD,43000248,,,,,,,,,,,
Fintech & Payments,Epic Cleantec - Innovation Area,Epic Cleantec,Epic Cleantec is a startup focused on sustainability solutions.,"epic cleantec, sustainability",Environmental Impact,https://www.epiccleantec.com,https://twitter.com/epiccleantec,UK,English,2020.0,Series B,$135M,USD,18411551,,,,,,,,,,,
Circular Economy,Fairphone - Innovation Area,Fairphone,Fairphone is a startup focused on sustainability solutions.,"fairphone, sustainability",Environmental Impact,https://www.fairphone.com,https://twitter.com/fairphone,France,English,2015.0,Seed,$130M,USD,40545954,,,,,,,,,,,
HealthTech,Zasti - Innovation Area,Zasti,Zasti is a startup focused on sustainability solutions.,"zasti, sustainability",Environmental Impact,https://www.zasti.com,https://twitter.com/zasti,France,English,2016.0,Series A,$150M,USD,97758697,,,,,,,,,,,
AgriTech,GreenFlux - Innovation Area,GreenFlux,GreenFlux is a startup focused on sustainability solutions.,"greenflux, sustainability",Environmental Impact,https://www.greenflux.com,https://twitter.com/greenflux,Germany,English,2016.0,Series C,$63M,USD,67853609,,,,,,,,,,,
Circular Economy,Chargetrip - Innovation Area,Chargetrip,Chargetrip is a startup focused on sustainability solutions.,"chargetrip, sustainability",Environmental Impact,https://www.chargetrip.com,https://twitter.com/chargetrip,Germany,English,2014.0,Series C,$61M,USD,36957660,,,,,,,,,,,
Carbon Management,Fasal - Innovation Area,Fasal,Fasal is a startup focused on sustainability solutions.,"fasal, sustainability",Environmental Impact,https://www.fasal.com,https://twitter.com/fasal,India,English,2015.0,Series C,$141M,USD,32066265,,,,,,,,,,,
Sustainable Mobility,Entocycle - Innovation Area,Entocycle,Entocycle is a startup focused on sustainability solutions.,"entocycle, sustainability",Environmental Impact,https://www.entocycle.com,https://twitter.com/entocycle,France,English,2021.0,Seed,$56M,USD,125637702,,,,,,,,,,,
HealthTech,Too Good To Go - Innovation Area,Too Good To Go,Too Good To Go is a startup focused on sustainability solutions.,"too good to go, sustainability",Environmental Impact,https://www.toogoodtogo.com,https://twitter.com/toogoodtogo,USA,English,2015.0,Seed,$121M,USD,17438616,,,,,,,,,,,
Carbon Management,SunCulture Tech - Innovation Area,SunCulture Tech,SunCulture Tech is a startup focused on sustainability solutions.,"sunculture tech, sustainability",Environmental Impact,https://www.sunculturetech.com,https://twitter.com/sunculturetech,France,English,2023.0,Seed,$13M,USD,93838746,,,,,,,,,,,
HealthTech,Brimstone Energy - Innovation Area,Brimstone Energy,Brimstone Energy is a startup focused on sustainability solutions.,"brimstone energy, sustainability",Environmental Impact,https://www.brimstoneenergy.com,https://twitter.com/brimstoneenergy,UK,English,2012.0,Series B,$133M,USD,90899672,,,,,,,,,,,
Digital & AI,NatureMetrics - Innovation Area,NatureMetrics,NatureMetrics is a startup focused on sustainability solutions.,"naturemetrics, sustainability",Environmental Impact,https://www.naturemetrics.com,https://twitter.com/naturemetrics,India,English,2015.0,Series C,$149M,USD,57721540,,,,,,,,,,,
Carbon Management,Greenfield Nitrogen - Innovation Area,Greenfield Nitrogen,Greenfield Nitrogen is a startup focused on sustainability solutions.,"greenfield nitrogen, sustainability",Environmental Impact,https://www.greenfieldnitrogen.com,https://twitter.com/greenfieldnitrogen,UK,English,2016.0,Series B,$148M,USD,115523041,,,,,,,,,,,
AgriTech,One Concern - Innovation Area,One Concern,One Concern is a startup focused on sustainability solutions.,"one concern, sustainability",Environmental Impact,https://www.oneconcern.com,https://twitter.com/oneconcern,Germany,English,2017.0,Series A,$135M,USD,11872790,,,,,,,,,,,
Circular Economy,Shelf Engine - Innovation Area,Shelf Engine,Shelf Engine is a startup focused on sustainability solutions.,"shelf engine, sustainability",Environmental Impact,https://www.shelfengine.com,https://twitter.com/shelfengine,UK,English,2020.0,Series A,$58M,USD,79221948,,,,,,,,,,,
Clean Energy,Cortilia - Innovation Area,Cortilia,Cortilia is a startup focused on sustainability solutions.,"cortilia, sustainability",Environmental Impact,https://www.cortilia.com,https://twitter.com/cortilia,India,English,2012.0,Series C,$22M,USD,24930390,,,,,,,,,,,
Circular Economy,Evergen - Innovation Area,Evergen,Evergen is a startup focused on sustainability solutions.,"evergen, sustainability",Environmental Impact,https://www.evergen.com,https://twitter.com/evergen,France,English,2012.0,Seed,$55M,USD,57626920,,,,,,,,,,,
Digital & AI,Mosaic Power - Innovation Area,Mosaic Power,Mosaic Power is a startup focused on sustainability solutions.,"mosaic power, sustainability",Environmental Impact,https://www.mosaicpower.com,https://twitter.com/mosaicpower,Germany,English,2013.0,Series C,$6M,USD,93634534,,,,,,,,,,,
Circular Economy,SolShare - Innovation Area,SolShare,SolShare is a startup focused on sustainability solutions.,"solshare, sustainability",Environmental Impact,https://www.solshare.com,https://twitter.com/solshare,France,English,2021.0,Series A,$138M,USD,53029056,,,,,,,,,,,
Clean Energy,PlanetWatchers - Innovation Area,PlanetWatchers,PlanetWatchers is a startup focused on sustainability solutions.,"planetwatchers, sustainability",Environmental Impact,https://www.planetwatchers.com,https://twitter.com/planetwatchers,India,English,2014.0,Series B,$75M,USD,31658522,,,,,,,,,,,
Digital & AI,Uluu - Innovation Area,Uluu,Uluu is a startup focused on sustainability solutions.,"uluu, sustainability",Environmental Impact,https://www.uluu.com,https://twitter.com/uluu,Germany,English,2015.0,Series C,$102M,USD,78719740,,,,,,,,,,,
Circular Economy,Statera Energy - Innovation Area,Statera Energy,Statera Energy is a startup focused on sustainability solutions.,"statera energy, sustainability",Environmental Impact,https://www.stateraenergy.com,https://twitter.com/stateraenergy,India,English,2016.0,Series C,$142M,USD,93668703,,,,,,,,,,,
Sustainable Mobility,Carbon Lighthouse - Innovation Area,Carbon Lighthouse,Carbon Lighthouse is a startup focused on sustainability solutions.,"carbon lighthouse, sustainability",Environmental Impact,https://www.carbonlighthouse.com,https://twitter.com/carbonlighthouse,France,English,2019.0,Series C,$61M,USD,52292958,,,,,,,,,,,
Digital & AI,Rubi Laboratories - Innovation Area,Rubi Laboratories,Rubi Laboratories is a startup focused on sustainability solutions.,"rubi laboratories, sustainability",Environmental Impact,https://www.rubilaboratories.com,https://twitter.com/rubilaboratories,France,English,2022.0,Seed,$92M,USD,47921018,,,,,,,,,,,
Carbon Management,Solar Foods - Innovation Area,Solar Foods,Solar Foods is a startup focused on sustainability solutions.,"solar foods, sustainability",Environmental Impact,https://www.solarfoods.com,https://twitter.com/solarfoods,India,English,2019.0,Series B,$108M,USD,52002399,,,,,,,,,,,
AgriTech,BioFiltro - Innovation Area,BioFiltro,BioFiltro is a startup focused on sustainability solutions.,"biofiltro, sustainability",Environmental Impact,https://www.biofiltro.com,https://twitter.com/biofiltro,UK,English,2019.0,Series B,$78M,USD,91167223,,,,,,,,,,,
Circular Economy,Wright Electric - Innovation Area,Wright Electric,Wright Electric is a startup focused on sustainability solutions.,"wright electric, sustainability",Environmental Impact,https://www.wrightelectric.com,https://twitter.com/wrightelectric,India,English,2016.0,Series B,$22M,USD,74515623,,,,,,,,,,,
Water Management,Bio-Bean - Innovation Area,Bio-Bean,Bio-Bean is a startup focused on sustainability solutions.,"bio-bean, sustainability",Environmental Impact,https://www.bio-bean.com,https://twitter.com/bio-bean,USA,English,2017.0,Series A,$103M,USD,8982126,,,,,,,,,,,
Water Management,Greenventory - Innovation Area,Greenventory,Greenventory is a startup focused on sustainability solutions.,"greenventory, sustainability",Environmental Impact,https://www.greenventory.com,https://twitter.com/greenventory,France,English,2018.0,Series B,$122M,USD,67731604,,,,,,,,,,,
Carbon Management,Exnaton - Innovation Area,Exnaton,Exnaton is a startup focused on sustainability solutions.,"exnaton, sustainability",Environmental Impact,https://www.exnaton.com,https://twitter.com/exnaton,France,English,2016.0,Series B,$81M,USD,122938138,,,,,,,,,,,
Clean Energy,nZero - Innovation Area,nZero,nZero is a startup focused on sustainability solutions.,"nzero, sustainability",Environmental Impact,https://www.nzero.com,https://twitter.com/nzero,India,English,2020.0,Series B,$104M,USD,127555272,,,,,,,,,,,
Carbon Management,ReNew Power - Innovation Area,ReNew Power,ReNew Power is a startup focused on sustainability solutions.,"renew power, sustainability",Environmental Impact,https://www.renewpower.com,https://twitter.com/renewpower,India,English,2015.0,Seed,$67M,USD,22540903,,,,,,,,,,,
Water Management,RepAir - Innovation Area,RepAir,RepAir is a startup focused on sustainability solutions.,"repair, sustainability",Environmental Impact,https://www.repair.com,https://twitter.com/repair,France,English,2022.0,Series C,$146M,USD,14656116,,,,,,,,,,,
Fintech & Payments,Spiber - Innovation Area,Spiber,Spiber is a startup focused on sustainability solutions.,"spiber, sustainability",Environmental Impact,https://www.spiber.com,https://twitter.com/spiber,India,English,2022.0,Series B,$99M,USD,10276516,,,,,,,,,,,
Digital & AI,Synhelion - Innovation Area,Synhelion,Synhelion is a startup focused on sustainability solutions.,"synhelion, sustainability",Environmental Impact,https://www.synhelion.com,https://twitter.com/synhelion,India,English,2022.0,Seed,$75M,USD,62881733,,,,,,,,,,,
Circular Economy,Infarm - Innovation Area,Infarm,Infarm is a startup focused on sustainability solutions.,"infarm, sustainability",Environmental Impact,https://www.infarm.com,https://twitter.com/infarm,India,English,2018.0,Seed,$110M,USD,87127076,,,,,,,,,,,
Water Management,Voltaware - Innovation Area,Voltaware,Voltaware is a startup focused on sustainability solutions.,"voltaware, sustainability",Environmental Impact,https://www.voltaware.com,https://twitter.com/voltaware,USA,English,2020.0,Series A,$37M,USD,145489494,,,,,,,,,,,
Circular Economy,Resilient Power - Innovation Area,Resilient Power,Resilient Power is a startup focused on sustainability solutions.,"resilient power, sustainability",Environmental Impact,https://www.resilientpower.com,https://twitter.com/resilientpower,India,English,2013.0,Seed,$54M,USD,33880602,,,,,,,,,,,
Digital & AI,Hydraloop - Innovation Area,Hydraloop,Hydraloop is a startup focused on sustainability solutions.,"hydraloop, sustainability",Environmental Impact,https://www.hydraloop.com,https://twitter.com/hydraloop,USA,English,2015.0,Seed,$38M,USD,106710066,,,,,,,,,,,
AgriTech,Cirba Solutions - Innovation Area,Cirba Solutions,Cirba Solutions is a startup focused on sustainability solutions.,"cirba solutions, sustainability",Environmental Impact,https://www.cirbasolutions.com,https://twitter.com/cirbasolutions,France,English,2016.0,Series B,$99M,USD,9180427,,,,,,,,,,,
